,id,specialty,procedure_code
131253,8053,Unknown,81291
131254,8053,Unknown,82306
131255,8053,Unknown,82553
131256,8053,Unknown,82607
393400,24173,Unknown,92136
131259,8053,Unknown,83550
131260,8053,Unknown,83721
189,12,Diagnostic Radiology,73060
131261,8053,Unknown,83735
191,12,Diagnostic Radiology,73090
131262,8053,Unknown,83874
131263,8053,Unknown,83880
131264,8053,Unknown,84153
131265,8053,Unknown,84402
393404,24174,Unknown,87480
393405,24174,Unknown,87510
131270,8053,Unknown,84481
131271,8053,Unknown,84484
131272,8053,Unknown,84550
524487,32148,Cardiology,75571
131274,8053,Unknown,85379
131275,8053,Unknown,85576
131277,8053,Unknown,85651
393422,24175,Family Practice,90746
131279,8053,Unknown,92943
262352,16151,Unknown,99235
262355,16152,Unknown,20526
262356,16152,Unknown,20550
262357,16152,Unknown,20551
262358,16152,Unknown,20552
262360,16152,Unknown,20605
393432,24175,Family Practice,G0010
524505,32148,Cardiology,A9579
262363,16152,Unknown,64405
262364,16152,Unknown,64413
262365,16152,Unknown,64418
222,12,Diagnostic Radiology,78815
131295,8053,Unknown,93784
262366,16152,Unknown,64420
262367,16152,Unknown,64421
262368,16152,Unknown,64445
524506,32148,Cardiology,J0151
228,12,Diagnostic Radiology,A9552
131301,8053,Unknown,94250
131302,8053,Unknown,94640
131303,8053,Unknown,94727
393444,24176,Internal Medicine,99236
262380,16152,Unknown,73565
237,15,Psychiatry,90792
393452,24177,Family Practice,87880
393454,24177,Family Practice,94640
240,16,Unknown,66821
262385,16152,Unknown,82040
262386,16152,Unknown,82247
243,16,Unknown,83861
262387,16152,Unknown,82306
262388,16152,Unknown,82310
262390,16152,Unknown,83516
262391,16152,Unknown,83970
248,16,Unknown,92060
262392,16152,Unknown,84075
262393,16152,Unknown,84132
131323,8053,Unknown,G0103
252,16,Unknown,92136
253,16,Unknown,92225
131325,8053,Unknown,G0452
131326,8053,Unknown,J0696
131328,8053,Unknown,J1170
131329,8053,Unknown,J1200
131330,8053,Unknown,J1250
131331,8053,Unknown,J1644
131332,8053,Unknown,J1940
131333,8053,Unknown,J2250
262397,16152,Unknown,84460
131335,8053,Unknown,J3370
262399,16152,Unknown,84550
262402,16152,Unknown,85651
262403,16152,Unknown,86038
262404,16152,Unknown,86140
262405,16152,Unknown,86147
262406,16152,Unknown,86160
131342,8054,Unknown,78306
262407,16152,Unknown,86161
262408,16152,Unknown,86200
131345,8054,Unknown,78472
262409,16152,Unknown,86225
262410,16152,Unknown,86226
262411,16152,Unknown,86235
262412,16152,Unknown,86431
262414,16152,Unknown,96401
262418,16152,Unknown,97032
262419,16152,Unknown,97110
262420,16152,Unknown,97140
262428,16152,Unknown,J0129
262429,16152,Unknown,J0897
262430,16152,Unknown,J1740
287,19,Internal Medicine,82962
262431,16152,Unknown,J1745
262433,16152,Unknown,J9250
393503,24180,Unknown,72052
131366,8054,Unknown,A9503
295,19,Internal Medicine,Q2036
296,20,Pulmonary Disease,31622
297,20,Pulmonary Disease,31624
298,20,Pulmonary Disease,31627
299,20,Pulmonary Disease,31628
131367,8054,Unknown,J0151
524592,32157,Unknown,33361
131377,8055,Unknown,Q2036
262450,16153,Unknown,75574
307,20,Pulmonary Disease,94727
393522,24180,Unknown,73520
131382,8056,Neurology,J0585
311,20,Pulmonary Disease,95811
524604,32157,Unknown,93451
526234,32259,Dermatology,17261
131397,8057,Cardiology,A9505
393541,24180,Unknown,74480
327,21,Anesthesiology,01480
328,21,Anesthesiology,01810
393542,24180,Unknown,76376
262475,16153,Unknown,99236
524620,32157,Unknown,93979
131405,8059,Unknown,33216
131406,8059,Unknown,33225
495046,30392,Cardiology,83735
131409,8059,Unknown,33234
393553,24180,Unknown,78226
393554,24180,Unknown,78306
393556,24180,Unknown,78812
393557,24180,Unknown,78815
495047,30392,Cardiology,83880
131415,8059,Unknown,33282
262489,16156,Pulmonary Disease,31500
346,22,Unknown,99236
262490,16156,Pulmonary Disease,31624
262491,16156,Pulmonary Disease,31645
131425,8059,Unknown,93285
262497,16156,Pulmonary Disease,94726
524643,32159,Pathology,88141
357,24,Physical Medicine and Rehabilitation,20552
358,24,Physical Medicine and Rehabilitation,20553
524647,32159,Pathology,88311
131436,8059,Unknown,93653
524655,32162,Unknown,33405
524656,32162,Unknown,33426
524657,32162,Unknown,33508
262514,16157,Neurology,95909
262515,16157,Neurology,95910
526236,32259,Dermatology,17271
524669,32163,Family Practice,82962
382,25,Diagnostic Radiology,73060
262526,16158,Ophthalmology,66821
262528,16158,Ophthalmology,67042
524670,32163,Family Practice,92540
524671,32163,Family Practice,92543
524672,32163,Family Practice,92546
524673,32163,Family Practice,92552
524674,32163,Family Practice,92588
262535,16158,Ophthalmology,92136
524679,32163,Family Practice,93886
524680,32163,Family Practice,93890
524681,32163,Family Practice,93892
364801,22475,Neurology,J1885
524687,32163,Family Practice,94760
524688,32163,Family Practice,95921
131476,8061,Unknown,A9505
131479,8062,Cardiology,33366
524695,32163,Family Practice,Q2036
393626,24181,Diagnostic Radiology,A9576
393627,24181,Diagnostic Radiology,A9579
393629,24182,Anesthesiology,27096
131487,8062,Cardiology,93451
393632,24182,Anesthesiology,64483
417,25,Diagnostic Radiology,78582
393634,24182,Anesthesiology,99144
262563,16164,Obstetrics/Gynecology,58120
422,26,Internal Medicine,94200
364806,22476,Internal Medicine,94640
393641,24184,Cardiology,0295T
262570,16165,Cardiology,33282
393642,24184,Cardiology,76376
393643,24184,Cardiology,76377
131501,8062,Cardiology,93979
430,27,Family Practice,87880
524722,32165,Cardiac Surgery,33361
524723,32165,Cardiac Surgery,33508
524724,32165,Cardiac Surgery,33517
524725,32165,Cardiac Surgery,33518
524728,32166,Dermatology,10060
131514,8063,Unknown,64483
262586,16165,Cardiology,93285
131520,8063,Unknown,72114
524737,32166,Dermatology,17260
524738,32166,Dermatology,17261
131523,8063,Unknown,99144
393667,24184,Cardiology,A9555
364812,22476,Internal Medicine,G0402
524740,32166,Dermatology,17270
524741,32166,Dermatology,17271
524742,32166,Dermatology,17280
524743,32166,Dermatology,17281
393677,24186,Internal Medicine,99235
462,31,Family Practice,83721
131535,8064,Internal Medicine,70210
131536,8064,Internal Medicine,70220
364814,22476,Internal Medicine,Q2036
393678,24186,Internal Medicine,99236
393683,24187,Unknown,80076
393687,24187,Unknown,82150
393688,24187,Unknown,82306
262617,16166,Cardiology,93352
393690,24187,Unknown,82607
524759,32168,Family Practice,82607
393692,24187,Unknown,83550
393693,24187,Unknown,83690
524760,32168,Family Practice,82728
524762,32168,Family Practice,83721
131552,8064,Internal Medicine,82962
524764,32168,Family Practice,84550
393698,24187,Unknown,85651
393699,24187,Unknown,87880
262628,16167,Psychiatry,90792
131557,8064,Internal Medicine,87880
262630,16168,Unknown,90832
262631,16168,Unknown,90837
393703,24187,Unknown,94640
262633,16169,Unknown,32405
524769,32168,Family Practice,85651
262635,16169,Unknown,47000
131564,8064,Internal Medicine,94640
524777,32168,Family Practice,G0434
393711,24187,Unknown,G0434
524784,32169,General Practice,96367
500,32,Unknown,J0696
524788,32169,General Practice,99195
503,32,Unknown,J1885
131576,8064,Internal Medicine,J0696
524793,32169,General Practice,J0885
506,33,Unknown,00160
524794,32169,General Practice,J0897
508,34,Unknown,90792
131580,8064,Internal Medicine,J1885
524796,32169,General Practice,J1644
524797,32169,General Practice,J2405
512,35,Unknown,43246
513,35,Unknown,43255
131585,8065,Family Practice,82962
131587,8065,Family Practice,94640
262657,16169,Unknown,73060
262659,16169,Unknown,73090
524798,32169,General Practice,J2780
524799,32169,General Practice,J2916
524801,32169,General Practice,J3489
521,36,Diagnostic Radiology,70480
262666,16169,Unknown,73520
524803,32169,General Practice,J7040
524804,32170,Obstetrics/Gynecology,57150
131599,8065,Family Practice,G0181
131600,8065,Family Practice,G0328
131601,8065,Family Practice,G0434
393744,24188,Cardiology,J1245
131603,8065,Family Practice,Q2036
262688,16169,Unknown,74230
262689,16169,Unknown,74328
393762,24190,Otolaryngology,31575
262691,16169,Unknown,76000
262692,16169,Unknown,76100
549,36,Diagnostic Radiology,73060
393769,24192,Anesthesiology,01810
393770,24192,Anesthesiology,01830
393771,24192,Anesthesiology,01996
393772,24192,Anesthesiology,64415
262701,16169,Unknown,77075
393776,24193,Dermatology,11403
393778,24193,Dermatology,11423
566,36,Diagnostic Radiology,74230
262710,16169,Unknown,99144
262711,16170,Unknown,66821
131642,8068,Diagnostic Radiology,70480
393787,24195,Colorectal Surgery (formerly proctology),51784
393788,24195,Colorectal Surgery (formerly proctology),91122
131646,8068,Diagnostic Radiology,70543
262719,16170,Unknown,92136
578,37,Unknown,92920
262734,16171,Gastroenterology,95913
262743,16173,Cardiology,83880
131672,8068,Diagnostic Radiology,73520
262744,16173,Cardiology,84460
393827,24197,Cardiology,82550
393830,24197,Cardiology,83721
393831,24197,Cardiology,83735
393832,24197,Cardiology,83880
393833,24197,Cardiology,84153
619,40,Pulmonary Disease,95811
393836,24197,Cardiology,84550
262767,16173,Cardiology,93352
393839,24197,Cardiology,85651
443001,27197,Diagnostic Radiology,32557
131699,8068,Diagnostic Radiology,A9579
262779,16173,Cardiology,J1250
443003,27197,Diagnostic Radiology,36561
262781,16173,Cardiology,Q9957
393857,24197,Cardiology,Q2036
642,43,Dermatology,13131
643,43,Dermatology,13132
644,43,Dermatology,15260
393861,24198,Cardiology,37220
262790,16175,Unknown,00104
647,43,Dermatology,17311
648,43,Dermatology,17312
649,43,Dermatology,17313
262791,16175,Unknown,00400
393862,24198,Cardiology,37221
393872,24198,Cardiology,75574
524946,32181,Unknown,J1245
131732,8071,Internal Medicine,82270
131733,8071,Internal Medicine,82962
393879,24198,Cardiology,82553
393881,24198,Cardiology,83880
393882,24198,Cardiology,84450
393883,24198,Cardiology,84460
668,46,Unknown,77280
669,46,Unknown,77290
262813,16178,Unknown,88311
671,46,Unknown,77300
672,46,Unknown,77301
673,46,Unknown,77334
674,46,Unknown,77336
675,46,Unknown,77338
676,46,Unknown,77413
677,46,Unknown,77414
678,46,Unknown,77417
679,46,Unknown,77418
262815,16178,Unknown,88321
681,46,Unknown,77427
262818,16178,Unknown,88348
262819,16178,Unknown,88360
131756,8071,Internal Medicine,J1200
262821,16178,Unknown,G0462
262822,16179,Cardiology,76376
131759,8072,Cardiology,35476
393902,24198,Cardiology,93314
443013,27197,Diagnostic Radiology,77001
131764,8072,Cardiology,77001
524981,32182,Cardiology,G0389
547221,33574,Hematology/Oncology,96361
131767,8072,Cardiology,82435
131768,8072,Cardiology,84132
524983,32182,Cardiology,J1245
131770,8072,Cardiology,84520
524984,32183,Orthopedic Surgery,20550
524986,32183,Orthopedic Surgery,20605
443016,27197,Diagnostic Radiology,99144
524988,32183,Orthopedic Surgery,20680
524989,32183,Orthopedic Surgery,29405
393924,24199,Interventional Pain Management,20550
393925,24199,Interventional Pain Management,20551
393926,24199,Interventional Pain Management,20553
547224,33574,Hematology/Oncology,96367
393929,24199,Interventional Pain Management,64418
393930,24199,Interventional Pain Management,64450
525002,32183,Orthopedic Surgery,Q4038
393932,24199,Interventional Pain Management,82962
525003,32184,Internal Medicine,82270
393937,24199,Interventional Pain Management,J1885
722,51,Unknown,11980
443020,27198,Pulmonary Disease,94727
724,51,Unknown,51700
525012,32185,Internal Medicine,99183
726,51,Unknown,54235
443021,27198,Pulmonary Disease,94727
729,51,Unknown,93980
547228,33574,Hematology/Oncology,96402
131804,8072,Cardiology,Q9965
525020,32186,Cardiology,0296T
525021,32186,Cardiology,0298T
262880,16184,Internal Medicine,83735
737,51,Unknown,J3490
738,52,Hand Surgery,20550
262881,16184,Internal Medicine,84153
740,52,Hand Surgery,20605
262884,16184,Internal Medicine,85651
742,52,Hand Surgery,23472
743,52,Hand Surgery,26055
744,52,Hand Surgery,29823
262885,16184,Internal Medicine,86318
746,52,Hand Surgery,29827
747,52,Hand Surgery,29848
262892,16184,Internal Medicine,93886
751,52,Hand Surgery,73140
131825,8074,Unknown,47562
131826,8074,Unknown,49585
131827,8074,Unknown,49650
756,53,Urology,51715
262898,16184,Internal Medicine,94200
758,53,Urology,51741
759,53,Urology,51784
760,53,Urology,51797
393971,24202,Cardiology,93314
762,53,Urology,52287
763,53,Urology,57240
764,53,Urology,57282
765,53,Urology,57288
131834,8075,Emergency Medicine,99183
131840,8076,Cardiology,85014
393984,24202,Cardiology,99235
393986,24202,Cardiology,J1245
773,54,Unknown,31231
774,54,Unknown,31295
775,54,Unknown,31297
776,54,Unknown,31575
777,54,Unknown,31579
131846,8076,Cardiology,93229
779,54,Unknown,69420
780,54,Unknown,69433
781,54,Unknown,92540
782,54,Unknown,92543
783,54,Unknown,92557
784,54,Unknown,92567
785,54,Unknown,95004
495135,30395,Cardiology,95922
525066,32187,Endocrinology,82962
525067,32187,Endocrinology,96401
525072,32187,Endocrinology,J0897
443034,27199,Family Practice,82728
525080,32189,General Surgery,36010
525081,32189,General Surgery,36561
525082,32189,General Surgery,36590
131867,8076,Cardiology,J1245
525083,32189,General Surgery,47562
131869,8076,Cardiology,Q2035
131870,8077,Nephrology,90935
525085,32189,General Surgery,77001
525096,32190,Unknown,27130
394025,24205,Cardiology,A9505
394027,24206,Unknown,20605
131886,8079,Cardiology,0296T
131887,8079,Cardiology,0298T
131888,8079,Cardiology,36410
394037,24207,Cardiac Electrophysiology,33225
822,56,Cardiology,J1245
443040,27199,Family Practice,84481
394040,24207,Cardiac Electrophysiology,33282
394041,24207,Cardiac Electrophysiology,93613
416989,25614,Unknown,85060
131899,8079,Cardiology,93784
394043,24207,Cardiac Electrophysiology,93656
131901,8079,Cardiology,93888
443041,27199,Family Practice,84550
495144,30395,Cardiology,J0151
495145,30396,Unknown,92920
525115,32190,Unknown,J7325
525127,32192,Unknown,0298T
394056,24209,Anesthesiology,01230
443044,27199,Family Practice,87086
131917,8079,Cardiology,A9505
443045,27199,Family Practice,87186
547252,33574,Hematology/Oncology,J9310
131923,8081,Unknown,27130
852,58,Unknown,93352
131928,8081,Unknown,73520
131932,8081,Unknown,77077
525150,32192,Unknown,J0151
525152,32193,Unknown,97597
131938,8081,Unknown,J7324
263012,16197,Unknown,88141
263013,16197,Unknown,88172
263014,16197,Unknown,88173
871,61,Critical Care (Intensivists),31624
875,61,Critical Care (Intensivists),94726
876,61,Critical Care (Intensivists),94727
131947,8083,Neurosurgery,61312
263020,16197,Unknown,88311
263021,16197,Unknown,88312
263022,16197,Unknown,88313
263025,16197,Unknown,G0462
525165,32196,Unknown,32405
525169,32196,Unknown,64483
131956,8085,Cardiology,76376
888,63,Psychiatry,90792
263038,16198,Unknown,94726
263039,16198,Unknown,94727
394110,24211,Unknown,A9505
263041,16198,Unknown,95921
263042,16198,Unknown,95923
131971,8085,Cardiology,A9505
131972,8085,Cardiology,J1245
394112,24212,Emergency Medicine,31500
263046,16198,Unknown,J1245
394119,24213,Cardiology,75574
525189,32196,Unknown,72114
394125,24213,Cardiology,83880
394126,24213,Cardiology,84450
394127,24213,Cardiology,84460
525199,32196,Unknown,73060
525203,32196,Unknown,73140
525206,32196,Unknown,73520
263066,16201,Unknown,51703
263068,16201,Unknown,51741
263069,16201,Unknown,51784
263070,16201,Unknown,51797
525215,32196,Unknown,73660
263073,16201,Unknown,52005
263074,16201,Unknown,55700
263077,16201,Unknown,76872
935,66,Unknown,95816
936,66,Unknown,95819
937,66,Unknown,95822
263081,16201,Unknown,84153
394154,24214,Anesthesiology,01996
394156,24214,Anesthesiology,64450
394159,24214,Anesthesiology,99144
263091,16201,Unknown,J0696
525236,32196,Unknown,77001
263094,16202,Anesthesiology,01844
525238,32196,Unknown,77014
394169,24215,Family Practice,82270
954,69,Radiation Oncology,77014
525242,32196,Unknown,78306
956,69,Radiation Oncology,77280
957,69,Radiation Oncology,77290
958,69,Radiation Oncology,77293
132029,8086,Unknown,74230
960,69,Radiation Oncology,77300
961,69,Radiation Oncology,77301
962,69,Radiation Oncology,77331
963,69,Radiation Oncology,77334
964,69,Radiation Oncology,77338
132030,8086,Unknown,74246
966,69,Radiation Oncology,77427
132031,8086,Unknown,76376
263114,16204,Unknown,29823
263116,16204,Unknown,29827
263117,16204,Unknown,29881
525261,32197,Family Practice,G0402
525263,32197,Family Practice,G0442
132048,8086,Unknown,78582
132049,8086,Unknown,78815
132050,8086,Unknown,78815
525264,32197,Family Practice,G0444
525265,32198,Unknown,49505
983,72,Diagnostic Radiology,70220
132056,8086,Unknown,A9503
132057,8086,Unknown,A9537
132058,8086,Unknown,A9552
132059,8086,Unknown,A9579
263129,16204,Unknown,J3490
263130,16205,Vascular Surgery,35476
525275,32199,Unknown,83735
394217,24219,Gastroenterology,43242
263146,16205,Vascular Surgery,G0288
394219,24219,Gastroenterology,43259
132080,8087,Gastroenterology,G0121
132081,8088,Endocrinology,82962
263157,16206,Unknown,99236
1014,72,Diagnostic Radiology,73060
1016,72,Diagnostic Radiology,73090
263160,16207,Unknown,90935
263162,16207,Unknown,90960
263163,16207,Unknown,90960
132092,8089,Cardiology,82042
263164,16207,Unknown,90966
1023,72,Diagnostic Radiology,73520
132112,8090,Unknown,82465
132115,8090,Unknown,82607
1044,72,Diagnostic Radiology,74230
132116,8090,Unknown,82728
263187,16209,Radiation Oncology,77014
263189,16209,Radiation Oncology,77280
132120,8090,Unknown,83718
132121,8090,Unknown,83721
132122,8090,Unknown,84132
263190,16209,Radiation Oncology,77290
263191,16209,Radiation Oncology,77293
132125,8090,Unknown,84450
132126,8090,Unknown,84460
132127,8090,Unknown,84478
132128,8090,Unknown,84520
1057,72,Diagnostic Radiology,77001
132129,8090,Unknown,84550
263194,16209,Radiation Oncology,77301
132132,8090,Unknown,87086
1061,72,Diagnostic Radiology,77057
1062,72,Diagnostic Radiology,77075
132133,8090,Unknown,87186
1064,72,Diagnostic Radiology,78306
1065,72,Diagnostic Radiology,78582
394273,24222,Gastroenterology,91110
263211,16212,Unknown,66821
263213,16212,Unknown,67820
394286,24222,Gastroenterology,G0121
394287,24222,Gastroenterology,G0328
132144,8090,Unknown,G0103
394288,24223,Unknown,70260
525359,32203,Ophthalmology,66821
263219,16212,Unknown,92132
525361,32203,Ophthalmology,92020
525363,32203,Ophthalmology,92132
263222,16212,Unknown,92136
525370,32204,Unknown,36410
263230,16213,Cardiology,78472
132162,8093,Neurology,95909
132163,8093,Neurology,96103
132164,8093,Neurology,96120
394314,24223,Unknown,73520
394317,24223,Unknown,73565
263248,16213,Cardiology,93463
1106,73,Cardiology,A9555
1111,74,Unknown,43259
263262,16213,Cardiology,A9560
394335,24223,Unknown,77056
394336,24223,Unknown,77057
1125,74,Unknown,G0121
263274,16215,Dermatology,11603
525418,32205,Unknown,A9505
263276,16215,Dermatology,12032
263278,16215,Dermatology,12052
263279,16215,Dermatology,12053
263280,16215,Dermatology,13132
263281,16215,Dermatology,13151
263282,16215,Dermatology,13152
263283,16215,Dermatology,14061
263284,16215,Dermatology,15260
263288,16215,Dermatology,17261
263290,16215,Dermatology,17311
263291,16215,Dermatology,17312
263292,16215,Dermatology,17313
263293,16215,Dermatology,96567
1152,77,Unknown,80076
1153,77,Unknown,83880
263298,16215,Dermatology,J7308
394370,24227,Unknown,27236
525446,32208,Cardiology,0296T
525447,32208,Cardiology,0298T
525449,32208,Cardiology,78306
394378,24227,Unknown,J7324
525450,32208,Cardiology,78315
525455,32208,Cardiology,80069
525456,32208,Cardiology,80076
525457,32208,Cardiology,80162
525459,32208,Cardiology,82728
525460,32208,Cardiology,83735
525461,32208,Cardiology,83880
132248,8097,Cardiology,93314
525464,32208,Cardiology,84520
525467,32208,Cardiology,86140
1186,77,Unknown,Q9957
263330,16217,Unknown,93979
132262,8098,Unknown,76000
469165,28827,Orthopedic Surgery,26055
525482,32208,Cardiology,A9503
469166,28827,Orthopedic Surgery,27130
525484,32209,Otolaryngology,30901
525485,32209,Otolaryngology,31231
263343,16217,Unknown,A9505
263344,16217,Unknown,J0151
525486,32209,Otolaryngology,31575
525487,32209,Otolaryngology,31575
525490,32209,Otolaryngology,92553
525491,32209,Otolaryngology,92567
1209,79,Gastroenterology,45382
1220,80,Family Practice,80076
394436,24229,Cardiology,G0389
263366,16220,Unknown,87081
525509,32212,Orthopedic Surgery,29880
1224,80,Family Practice,82607
1225,80,Family Practice,82728
1226,80,Family Practice,82746
1229,80,Family Practice,83550
1231,80,Family Practice,84153
525519,32212,Orthopedic Surgery,G0289
1234,80,Family Practice,84450
1235,80,Family Practice,84460
1236,80,Family Practice,84520
1237,80,Family Practice,84550
1238,80,Family Practice,85014
263384,16220,Unknown,93613
1242,80,Family Practice,85652
1243,80,Family Practice,86140
1244,80,Family Practice,87088
1245,80,Family Practice,87186
1248,80,Family Practice,G0103
132320,8102,Unknown,75571
132322,8102,Unknown,75574
263392,16221,Cardiology,76377
1252,82,Unknown,29824
343917,21143,Unknown,99235
1254,82,Unknown,29881
469177,28827,Orthopedic Surgery,73565
394472,24231,Cardiology,99496
525539,32214,Unknown,90833
369968,22780,Unknown,77338
394477,24232,Anesthesiology,00938
1266,82,Unknown,73565
263413,16222,Cardiology,33508
263414,16222,Cardiology,33518
132343,8102,Unknown,93979
263416,16222,Cardiology,35301
1273,83,Internal Medicine,11042
1274,83,Internal Medicine,17250
1275,83,Internal Medicine,29581
263417,16222,Cardiology,36819
394485,24233,Family Practice,82962
394486,24233,Family Practice,85014
525561,32217,General Surgery,90792
525562,32217,General Surgery,90833
525570,32218,Unknown,43248
132355,8102,Unknown,A9579
1285,83,Internal Medicine,82248
1286,83,Internal Medicine,82306
1287,83,Internal Medicine,82550
1288,83,Internal Medicine,82607
1289,83,Internal Medicine,82746
1290,83,Internal Medicine,82977
369969,22780,Unknown,77427
1293,83,Internal Medicine,83615
1294,83,Internal Medicine,83735
525583,32218,Unknown,G0121
1297,83,Internal Medicine,84550
525585,32219,General Surgery,38525
1299,83,Internal Medicine,85651
1300,83,Internal Medicine,86431
525586,32219,General Surgery,49505
132376,8104,Unknown,33362
1305,83,Internal Medicine,96401
1306,83,Internal Medicine,99183
525595,32220,Unknown,10060
525598,32220,Unknown,11300
525599,32220,Unknown,11301
525600,32220,Unknown,11302
525601,32220,Unknown,11305
525602,32220,Unknown,11306
525603,32220,Unknown,11401
394532,24235,Unknown,32405
525605,32220,Unknown,12031
525606,32220,Unknown,12032
394535,24235,Unknown,37191
394536,24235,Unknown,38221
525611,32220,Unknown,17261
1324,83,Internal Medicine,G0103
525613,32220,Unknown,17263
1326,83,Internal Medicine,J0897
525615,32220,Unknown,17273
525616,32220,Unknown,17281
525618,32220,Unknown,17283
132404,8106,Gastroenterology,43243
132405,8106,Gastroenterology,43246
132406,8106,Gastroenterology,43248
132407,8106,Gastroenterology,43255
132408,8106,Gastroenterology,43262
525620,32220,Unknown,77261
525621,32220,Unknown,77290
525622,32220,Unknown,77300
132412,8106,Gastroenterology,45382
525623,32220,Unknown,77332
525624,32220,Unknown,77334
394559,24235,Unknown,73060
525625,32220,Unknown,77401
1345,86,Cardiology,83880
525626,32220,Unknown,77427
263494,16226,Cardiology,J2250
263495,16226,Cardiology,J3010
525651,32222,Family Practice,90715
525652,32222,Family Practice,94640
394581,24235,Unknown,77001
263512,16228,Cardiac Electrophysiology,33225
394584,24235,Unknown,77014
263514,16228,Cardiac Electrophysiology,33282
263515,16228,Cardiac Electrophysiology,71023
394586,24235,Unknown,78306
394587,24235,Unknown,78815
525663,32222,Family Practice,J1885
394592,24235,Unknown,G0364
525664,32222,Family Practice,J2930
263522,16228,Cardiac Electrophysiology,93285
132451,8108,Psychiatry,90791
132452,8108,Psychiatry,90792
132453,8108,Psychiatry,90833
1382,86,Cardiology,J1245
1383,87,Unknown,36475
1384,87,Unknown,37765
132454,8108,Psychiatry,90834
132455,8108,Psychiatry,90853
132457,8108,Psychiatry,Q3014
263523,16228,Cardiac Electrophysiology,93287
